Employee_ID,Age,Gender,Marital_Status,Department,Job_Role,Job_Level,Monthly_Income,Total Exp,Exp_in_Current_Role,Years_Since_Last_Promotion,Job_Satisfaction,Overtime,Project_Count,Average_Hours_Worked_Per_Week,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Attrition
33,26,Female,Divorced,IT,Analyst,5,75658,12,4,2,5,No,2,55,4,2,3,34,2,Yes
34,40,Female,Divorced,Marketing,Manager,1,97899,27,9,6,3,No,1,56,1,4,1,17,3,No
35,28,Female,Married,Finance,Manager,4,76734,13,1,5,2,No,3,31,1,4,2,34,1,No
36,58,Male,Married,Sales,Manager,4,70267,13,6,2,4,No,3,50,4,2,2,31,1,No
37,37,Female,Divorced,Marketing,Analyst,2,102528,27,7,3,4,Yes,1,36,3,3,3,22,1,No
38,23,Female,Married,Finance,Manager,5,101556,21,14,4,5,Yes,8,35,4,1,4,5,1,Yes
39,44,Female,Divorced,IT,Assistant,1,93890,25,6,1,4,No,7,46,4,2,4,9,3,No
40,33,Male,Married,HR,Assistant,3,75838,14,12,7,1,No,6,54,1,4,2,18,4,No
41,28,Female,Married,Sales,Manager,2,82393,19,10,6,4,No,7,51,4,3,4,21,2,Yes
42,45,Female,Married,Finance,Analyst,5,88792,15,8,8,1,No,2,32,1,4,2,45,1,No
43,21,Male,Divorced,Sales,Executive,1,86433,21,11,7,5,No,8,32,3,1,2,6,2,No
44,39,Male,Single,HR,Analyst,2,36513,3,8,6,1,No,7,45,2,1,2,44,1,No
45,47,Female,Divorced,HR,Executive,1,44612,9,5,8,2,Yes,1,51,2,4,3,29,1,No
46,26,Female,Married,HR,Executive,1,97041,25,13,9,4,Yes,8,45,1,2,3,19,3,Yes
47,27,Female,Single,Marketing,Manager,2,59555,10,12,4,2,Yes,7,36,4,1,2,47,1,No
48,54,Male,Single,Sales,Assistant,2,113235,29,13,2,3,Yes,2,49,4,4,1,39,3,No
49,33,Male,Married,Marketing,Manager,5,61486,7,4,5,5,Yes,3,42,1,1,1,46,1,No
50,36,Female,Divorced,HR,Executive,2,69099,14,11,8,5,Yes,6,36,2,1,1,4,1,No
51,55,Male,Single,Finance,Manager,5,95670,17,7,5,4,No,6,32,3,2,3,44,1,No
52,59,Female,Single,HR,Executive,1,90775,25,9,2,4,Yes,4,48,1,2,1,39,1,Yes
53,23,Female,Divorced,Marketing,Manager,2,70226,14,13,1,5,Yes,8,42,2,1,4,41,4,No
54,21,Male,Divorced,HR,Assistant,5,113152,25,2,4,4,No,2,49,4,3,1,34,4,Yes
55,25,Female,Single,HR,Assistant,5,66585,10,12,7,1,Yes,3,57,4,2,4,44,1,Yes
56,23,Male,Divorced,Marketing,Analyst,3,43943,5,7,7,1,Yes,7,47,1,2,2,3,3,No
57,48,Male,Single,Marketing,Executive,5,123555,27,6,0,1,No,4,36,1,4,2,46,3,No
58,37,Female,Married,Finance,Executive,5,92073,18,3,2,5,No,8,34,3,4,2,28,2,No
59,45,Male,Divorced,Marketing,Manager,3,113021,29,2,4,5,Yes,9,38,1,2,3,12,3,Yes
60,53,Female,Single,Finance,Analyst,4,84843,17,1,0,2,No,6,54,3,3,4,10,3,No
61,29,Male,Divorced,IT,Assistant,2,81989,18,2,5,3,No,6,46,3,1,1,13,1,No
62,55,Female,Divorced,IT,Manager,3,46692,4,12,3,4,Yes,6,58,1,3,4,29,4,Yes
63,33,Female,Single,Marketing,Analyst,5,101873,20,5,8,5,No,8,45,3,4,3,46,1,No
64,50,Female,Married,HR,Assistant,5,43675,1,1,1,2,No,2,42,1,1,1,23,3,No
65,34,Male,Single,Sales,Manager,2,59161,13,8,9,3,No,2,41,4,3,3,23,2,No
66,27,Female,Divorced,HR,Assistant,1,106297,29,4,4,1,Yes,6,39,3,1,4,27,4,No
67,33,Male,Single,Marketing,Executive,3,97995,24,3,4,4,Yes,7,47,4,1,2,44,4,No
68,42,Male,Divorced,Finance,Analyst,4,67629,10,10,5,5,Yes,6,49,2,4,3,6,3,No
69,59,Male,Single,HR,Assistant,2,113467,28,2,4,2,No,3,34,3,3,2,19,2,No
70,40,Male,Married,IT,Analyst,2,66016,15,1,9,1,Yes,6,36,4,4,1,25,1,No
71,35,Male,Married,Marketing,Manager,3,104869,24,8,9,3,No,3,50,2,4,1,13,3,Yes
72,37,Female,Married,HR,Analyst,5,113439,24,9,8,2,No,1,58,3,1,4,11,2,No
73,43,Male,Married,HR,Manager,5,57892,5,3,0,3,No,4,30,4,4,4,46,2,No
74,45,Female,Single,Finance,Analyst,4,114863,26,3,7,5,No,4,49,4,3,3,6,2,No
75,44,Female,Married,Finance,Manager,3,86916,18,9,5,2,No,2,50,4,2,3,46,1,No
76,48,Male,Single,Finance,Manager,2,40529,4,7,8,4,Yes,6,44,4,1,1,19,4,No
77,34,Female,Divorced,Sales,Manager,3,28878,1,12,9,1,No,5,41,2,3,3,23,3,No
78,20,Female,Divorced,Marketing,Assistant,1,54268,10,12,6,2,Yes,1,31,2,1,2,32,1,Yes
79,44,Male,Divorced,Marketing,Executive,2,75887,17,9,2,5,No,2,46,1,2,2,43,2,No
80,26,Female,Married,IT,Analyst,4,118859,28,2,7,5,Yes,6,43,4,1,2,49,1,No
81,28,Male,Married,IT,Executive,4,114331,26,7,9,3,No,3,59,3,3,3,21,4,No
82,43,Male,Married,Marketing,Executive,2,37571,3,14,2,3,No,7,47,4,4,4,36,3,No
83,20,Male,Divorced,HR,Executive,5,55684,4,13,2,4,No,1,45,1,3,4,26,3,Yes
84,27,Female,Divorced,Marketing,Executive,2,63208,12,8,3,5,No,7,49,4,2,4,23,4,No
85,43,Female,Divorced,Sales,Analyst,2,106276,27,11,2,5,No,3,45,2,3,3,24,3,No
86,30,Female,Divorced,IT,Analyst,1,101062,28,4,5,5,Yes,6,55,1,4,3,8,1,No
87,36,Female,Single,IT,Executive,2,53064,11,13,6,1,No,1,32,3,2,1,4,4,No
88,27,Male,Single,IT,Analyst,3,42006,3,10,2,1,No,1,43,4,2,2,16,2,No
89,54,Male,Married,Marketing,Analyst,3,111568,28,11,2,5,Yes,1,57,2,3,4,20,4,No
90,54,Female,Married,IT,Manager,4,68463,11,4,6,1,No,6,37,1,2,2,21,1,Yes
91,52,Male,Divorced,IT,Analyst,5,46027,3,12,9,5,No,2,33,3,3,1,49,3,No
92,24,Female,Single,Marketing,Assistant,4,104695,24,2,8,3,Yes,8,33,2,1,4,40,1,Yes
93,58,Male,Single,HR,Executive,1,36687,4,2,2,3,No,9,50,2,2,4,48,3,No
94,47,Male,Married,IT,Analyst,2,34258,3,4,5,1,Yes,6,30,2,3,2,47,2,No
95,26,Male,Single,IT,Executive,4,110618,25,4,4,3,Yes,9,59,3,1,3,31,1,No
96,28,Male,Married,IT,Analyst,2,62736,12,5,7,3,Yes,7,30,2,4,1,8,4,No
97,27,Male,Divorced,Sales,Executive,4,66391,12,10,8,4,No,3,45,4,2,3,35,4,No
98,31,Female,Divorced,Marketing,Assistant,2,76892,17,14,7,4,Yes,9,42,3,4,3,29,3,No
99,53,Female,Married,IT,Analyst,4,105561,24,10,0,5,Yes,7,55,3,3,3,6,2,No
100,52,Male,Divorced,Sales,Analyst,3,94184,21,13,6,2,No,5,43,3,2,2,11,2,No
101,42,Female,Divorced,HR,Assistant,1,42099,8,10,7,2,No,7,50,4,2,2,25,2,Yes
102,43,Male,Single,HR,Analyst,4,66278,10,9,4,4,Yes,3,51,4,2,1,4,2,No
103,56,Male,Single,Sales,Executive,3,81392,16,11,3,5,No,1,44,3,1,1,41,4,No
104,54,Male,Single,HR,Assistant,5,95104,19,9,6,4,No,3,32,1,4,4,31,1,No
105,59,Male,Single,Finance,Manager,4,82215,15,7,5,3,No,8,33,1,1,1,30,3,No
106,41,Female,Single,HR,Executive,2,88454,22,6,1,5,Yes,4,44,3,1,1,18,3,No
107,46,Male,Married,Finance,Analyst,1,56996,11,10,8,5,No,6,37,4,4,4,34,2,No
108,54,Female,Married,Sales,Executive,3,48731,7,5,2,2,No,5,34,2,4,4,39,3,No
109,20,Male,Single,Finance,Assistant,3,105154,24,4,0,2,No,6,54,1,3,3,21,1,Yes
110,54,Male,Divorced,HR,Analyst,1,45762,7,2,2,2,Yes,1,47,1,3,3,32,2,No
111,56,Female,Divorced,IT,Analyst,4,104056,23,4,0,1,No,2,51,4,1,2,46,2,No
112,33,Male,Married,Finance,Assistant,2,82110,18,11,9,3,Yes,9,59,4,1,1,41,3,No
113,22,Male,Married,HR,Manager,5,95840,19,7,6,3,No,3,54,3,3,3,7,4,No
114,20,Female,Married,IT,Analyst,4,79028,16,1,5,3,No,2,43,1,4,1,22,3,No
115,24,Female,Divorced,Sales,Analyst,1,88385,22,3,7,3,No,5,50,2,2,1,34,1,No
116,45,Female,Married,Sales,Analyst,4,39502,3,4,3,3,Yes,5,42,4,4,2,49,3,No
117,33,Male,Divorced,Marketing,Manager,4,111910,25,7,5,3,No,6,50,3,1,2,32,3,No
118,58,Male,Married,Sales,Executive,1,99062,25,3,2,1,Yes,3,42,3,3,2,9,4,No
119,46,Female,Divorced,Marketing,Manager,1,39938,6,4,3,5,No,5,40,3,3,1,43,3,Yes
120,28,Female,Married,Sales,Executive,5,42488,1,1,5,2,No,5,50,2,2,1,33,3,No
121,34,Male,Married,Sales,Analyst,1,18206,1,12,4,2,Yes,8,59,4,1,1,6,1,No
122,34,Male,Divorced,Sales,Executive,1,65134,15,1,1,2,No,5,56,2,2,2,24,4,No
123,45,Female,Married,Marketing,Executive,1,80977,20,10,8,3,Yes,1,35,4,1,4,15,1,No
124,32,Female,Single,Marketing,Executive,3,65721,11,12,1,2,No,1,59,1,3,1,13,4,No
125,51,Female,Divorced,Finance,Executive,1,52035,10,3,7,1,No,1,37,1,3,1,14,2,No
126,58,Female,Married,HR,Analyst,1,88484,24,7,4,3,Yes,9,45,4,2,4,14,4,Yes
127,51,Male,Divorced,HR,Assistant,1,31858,3,13,6,3,Yes,7,37,4,3,2,10,3,No
128,23,Male,Married,HR,Manager,5,47863,4,11,5,1,No,3,30,2,3,2,27,1,No
129,49,Male,Single,Sales,Executive,4,68790,12,6,1,5,No,2,49,4,4,4,45,2,No
130,56,Male,Married,HR,Analyst,1,103408,27,5,3,1,No,2,38,2,2,1,39,4,No
131,42,Female,Married,Marketing,Analyst,1,41755,6,8,8,1,Yes,6,43,1,3,2,13,3,No
132,58,Male,Single,Finance,Analyst,5,121116,27,11,6,1,No,6,41,4,1,4,39,2,No
133,34,Female,Divorced,IT,Analyst,4,111019,25,8,0,5,Yes,6,51,2,1,1,12,1,No
134,48,Male,Married,Finance,Executive,5,96757,20,4,3,2,No,2,34,2,1,2,45,4,No
135,55,Male,Married,HR,Manager,2,84574,19,10,9,1,No,7,50,2,3,2,29,1,No
136,32,Male,Single,HR,Analyst,2,104374,26,6,2,3,Yes,3,43,4,1,3,12,2,No
137,51,Female,Divorced,Marketing,Manager,2,104892,26,12,0,2,No,1,43,2,1,4,40,3,No
138,26,Male,Divorced,Finance,Manager,1,64678,16,1,4,2,Yes,3,49,3,1,1,31,2,No
139,41,Female,Single,Marketing,Manager,5,113242,25,10,8,4,No,6,34,2,3,1,23,3,No
140,47,Female,Single,Marketing,Assistant,1,88636,23,14,3,1,Yes,7,59,4,4,2,45,3,No
141,21,Male,Married,IT,Analyst,2,96059,25,12,1,2,Yes,3,47,4,4,3,31,4,No
142,25,Female,Single,Marketing,Analyst,4,117668,27,10,6,3,Yes,8,38,4,4,1,19,2,No
143,47,Male,Single,Marketing,Analyst,4,69914,10,9,7,5,Yes,3,48,4,3,4,49,2,Yes
144,47,Female,Single,IT,Manager,5,56157,6,14,1,5,Yes,6,59,1,3,1,32,2,No
145,39,Male,Divorced,Sales,Analyst,4,95915,20,5,9,2,No,2,30,2,1,1,1,1,No
146,49,Female,Single,Sales,Analyst,2,44789,5,14,8,5,No,9,58,1,1,4,13,4,No
147,30,Female,Married,IT,Manager,5,67693,10,8,9,4,Yes,7,58,2,3,1,35,4,Yes
148,47,Male,Married,Marketing,Analyst,5,74627,12,10,7,5,No,8,31,4,4,4,46,3,No
149,44,Male,Married,HR,Executive,2,83555,18,10,3,5,Yes,2,50,3,2,1,9,1,No
150,58,Male,Single,Finance,Assistant,2,34450,3,1,3,5,No,4,41,1,3,2,13,1,No
151,52,Male,Divorced,HR,Executive,2,36663,5,14,4,3,Yes,8,39,4,2,2,35,3,No
152,20,Female,Single,HR,Executive,2,116721,29,4,0,4,Yes,9,50,1,3,3,8,3,No
153,46,Female,Single,Marketing,Executive,5,49592,3,13,6,4,No,4,56,4,1,1,44,4,No
154,32,Female,Married,Finance,Manager,4,46392,3,2,3,5,No,6,48,1,4,3,41,1,No
155,22,Female,Single,Finance,Analyst,2,48306,9,2,0,2,No,5,51,3,4,4,11,4,No
156,58,Male,Divorced,Sales,Executive,3,43776,4,2,3,3,No,6,49,1,4,1,35,3,No
157,25,Female,Married,IT,Executive,5,100864,20,2,3,2,Yes,3,31,2,1,4,18,1,No
158,27,Male,Divorced,Marketing,Analyst,1,75474,17,8,0,1,No,5,33,4,4,3,14,2,Yes
159,46,Female,Divorced,Finance,Manager,4,121526,28,6,8,3,Yes,7,50,4,1,3,43,4,No
160,28,Male,Divorced,Marketing,Executive,5,64901,7,9,7,5,No,4,35,1,3,1,2,3,No
161,56,Male,Single,Sales,Analyst,2,112575,29,2,8,3,No,5,46,4,3,1,48,2,No
162,52,Male,Single,HR,Analyst,3,108530,26,13,6,3,Yes,6,58,3,3,4,49,4,No
163,43,Male,Single,Finance,Assistant,1,58413,13,1,4,2,No,9,52,3,4,2,15,1,No
164,34,Male,Single,Sales,Executive,4,108748,25,14,6,1,Yes,9,30,2,3,2,40,2,Yes
165,51,Female,Married,Marketing,Executive,2,104663,28,8,1,3,Yes,9,59,3,4,1,48,4,No
166,51,Male,Single,Sales,Assistant,5,108998,24,10,9,1,No,1,49,2,3,1,23,4,Yes
167,43,Female,Married,Sales,Analyst,5,78994,12,14,6,1,Yes,3,58,4,1,1,15,2,No
168,31,Female,Divorced,Sales,Analyst,4,85495,18,13,3,2,No,2,39,1,4,2,45,1,No
169,58,Male,Married,Sales,Executive,3,94304,22,3,4,2,No,6,33,2,4,4,2,1,No
170,21,Female,Single,Sales,Executive,2,101763,26,3,6,5,Yes,9,30,4,3,4,21,4,No
171,22,Female,Married,Sales,Assistant,4,113232,26,8,1,5,Yes,2,45,3,2,4,23,3,No
172,56,Female,Single,IT,Executive,4,76853,15,5,4,3,Yes,7,54,3,1,2,29,2,No
173,36,Male,Single,Marketing,Executive,5,56585,5,8,1,5,Yes,1,54,1,1,2,31,1,No
174,21,Male,Married,HR,Manager,4,103291,24,2,9,2,No,4,48,1,1,2,22,1,No
175,21,Male,Married,Marketing,Assistant,1,21581,1,10,5,5,No,1,56,3,1,3,6,1,Yes
176,47,Male,Divorced,Finance,Analyst,1,49554,9,9,9,5,No,1,44,1,2,1,47,3,Yes
177,42,Female,Divorced,Finance,Executive,2,54280,9,2,7,5,No,7,33,4,4,4,12,3,Yes
178,56,Female,Divorced,Marketing,Analyst,4,70636,13,9,6,1,Yes,5,30,4,2,4,26,1,No
179,51,Female,Divorced,Sales,Executive,5,71696,11,10,4,5,Yes,8,46,1,1,1,10,2,Yes
180,52,Female,Divorced,IT,Manager,2,104698,28,6,2,2,No,2,48,3,4,2,12,3,No
181,20,Female,Married,HR,Assistant,3,98737,23,12,3,1,No,6,50,1,1,3,15,4,No
182,38,Female,Divorced,Sales,Assistant,5,107854,24,12,1,5,No,9,43,1,3,1,18,1,No
183,21,Male,Married,Marketing,Analyst,3,120164,29,5,5,5,Yes,3,38,3,2,1,5,3,No
184,45,Female,Divorced,Marketing,Manager,2,52855,9,7,7,2,No,6,44,2,4,3,15,1,No
185,51,Female,Single,IT,Analyst,1,109392,29,14,7,3,Yes,9,42,3,3,3,28,2,No
186,25,Female,Divorced,IT,Manager,5,56528,5,7,8,2,No,3,38,4,4,4,9,4,No
187,51,Male,Single,Marketing,Executive,5,82249,14,4,4,4,Yes,5,47,2,3,1,36,2,Yes
188,23,Female,Married,Sales,Executive,2,106172,27,7,9,2,No,6,42,2,3,4,17,3,No
189,30,Female,Divorced,Sales,Manager,5,84707,16,3,5,3,Yes,1,59,3,4,3,21,4,No
190,36,Male,Married,Sales,Executive,5,46791,2,3,1,2,Yes,8,40,1,1,3,27,2,No
191,57,Female,Divorced,HR,Assistant,2,74925,15,7,9,1,No,3,55,3,4,1,29,2,No
192,43,Male,Married,HR,Manager,4,86535,17,1,3,1,Yes,8,34,4,4,3,43,2,Yes
193,24,Male,Divorced,Sales,Manager,2,39931,5,8,2,2,No,1,55,4,2,1,42,1,Yes
194,53,Female,Divorced,Marketing,Analyst,5,110510,24,11,8,1,Yes,4,48,2,4,4,39,1,Yes
195,25,Female,Single,IT,Manager,2,50202,10,2,5,3,Yes,4,35,3,2,3,10,4,No
196,41,Male,Married,Finance,Analyst,5,84218,15,1,5,4,No,8,32,4,1,2,40,2,No
197,30,Female,Married,IT,Manager,3,93958,20,6,3,4,Yes,4,45,2,2,2,3,3,No
198,35,Female,Married,IT,Assistant,3,41389,4,4,5,3,No,4,47,2,4,1,4,2,No
199,52,Male,Married,Finance,Assistant,1,29327,4,7,0,5,Yes,7,39,4,2,2,49,2,No
200,28,Male,Married,Sales,Assistant,2,100004,24,12,8,5,No,8,32,3,3,3,34,4,No
201,25,Female,Single,IT,Analyst,2,109931,29,3,2,4,Yes,6,31,3,3,2,42,2,Yes
202,35,Male,Divorced,Finance,Analyst,3,53777,7,11,4,1,Yes,4,30,2,3,3,14,4,No
203,48,Female,Single,Marketing,Executive,3,112197,29,2,6,1,Yes,7,45,1,3,1,23,1,No
204,22,Female,Married,Marketing,Analyst,3,113125,27,12,1,5,Yes,9,45,4,1,1,31,4,No
205,39,Female,Married,Marketing,Analyst,1,19930,1,11,3,4,No,2,59,2,1,4,38,1,No
206,55,Female,Divorced,Sales,Assistant,1,99287,26,4,5,2,No,3,52,3,2,4,40,4,No
207,38,Male,Single,IT,Manager,4,104800,22,4,0,2,No,1,51,1,2,1,49,1,No
208,45,Female,Divorced,IT,Analyst,2,89339,20,11,5,1,Yes,7,33,2,2,3,3,4,Yes
209,22,Male,Divorced,HR,Executive,1,25282,2,4,4,3,No,6,42,4,1,4,13,2,No
210,38,Female,Single,Marketing,Manager,5,94511,19,3,1,5,No,8,48,3,1,1,19,4,No
211,39,Female,Divorced,Sales,Analyst,2,41986,4,7,5,1,No,2,35,1,2,4,34,2,No
212,51,Male,Single,Finance,Manager,4,108659,26,5,4,3,No,5,45,1,2,3,31,1,No
213,26,Female,Single,Sales,Manager,3,96811,23,11,0,3,No,1,33,2,2,3,3,3,No
214,52,Male,Married,IT,Manager,4,40098,1,4,5,5,Yes,9,35,4,3,3,6,4,No
215,59,Male,Divorced,Marketing,Manager,2,29546,1,5,6,3,Yes,2,54,4,2,4,49,4,No
216,58,Female,Married,HR,Manager,3,43561,3,7,8,3,Yes,7,36,3,1,3,47,2,No
217,37,Female,Divorced,Sales,Analyst,4,85986,18,4,1,5,No,7,48,2,2,1,47,3,No
218,59,Female,Divorced,HR,Manager,4,47338,3,12,5,4,No,4,57,2,1,2,27,2,No
219,20,Female,Married,IT,Manager,2,31911,3,13,5,2,No,6,49,3,4,2,6,3,No
220,30,Male,Married,Finance,Executive,1,97734,27,14,0,4,No,2,54,2,3,1,8,4,No
221,47,Female,Married,Sales,Executive,5,75843,13,10,7,2,No,2,59,2,2,1,32,3,Yes
222,44,Female,Single,IT,Manager,4,41680,1,5,4,2,No,9,43,1,2,3,13,2,No
223,42,Female,Divorced,Marketing,Analyst,5,76976,13,6,1,5,No,1,42,2,1,3,35,2,Yes
224,50,Female,Single,Sales,Executive,2,87959,22,6,4,4,No,6,51,4,2,4,2,2,Yes
225,49,Female,Divorced,HR,Executive,2,97759,24,12,3,5,No,1,47,3,4,4,33,1,No
226,54,Male,Divorced,Sales,Manager,1,36694,5,12,6,4,Yes,6,55,4,1,3,16,3,No
227,26,Female,Single,IT,Analyst,3,78385,17,7,9,3,No,4,53,1,2,4,29,4,Yes
228,35,Male,Single,IT,Assistant,5,72736,11,10,7,1,Yes,5,59,3,2,2,37,2,No
229,45,Female,Divorced,HR,Analyst,4,61802,10,13,0,4,No,4,48,2,3,3,44,3,No
230,21,Female,Married,IT,Executive,3,114155,27,3,0,4,Yes,5,32,1,2,2,10,3,No
231,20,Female,Married,Sales,Executive,5,112120,23,12,7,3,Yes,3,34,1,4,4,32,4,No
232,31,Male,Married,HR,Executive,5,122616,27,8,3,3,No,6,54,3,2,4,31,3,No
233,24,Female,Married,IT,Executive,3,75534,15,5,7,2,No,1,39,3,3,1,13,3,No
234,56,Male,Divorced,IT,Executive,3,68061,13,1,6,1,No,2,36,2,4,4,38,2,Yes
235,51,Male,Married,Sales,Manager,1,45262,10,4,8,1,Yes,6,44,2,3,1,16,4,No
236,28,Female,Married,IT,Manager,4,63287,9,11,6,1,No,9,53,4,4,1,26,3,No
237,54,Male,Married,Sales,Manager,4,122815,28,4,3,4,No,5,52,1,1,1,4,2,No
238,38,Female,Divorced,Marketing,Executive,4,60208,7,14,4,4,Yes,2,53,1,4,1,28,2,No
239,35,Female,Single,Sales,Manager,3,102049,25,8,6,5,Yes,5,53,4,1,2,15,4,No
240,22,Male,Married,Finance,Executive,1,50423,10,13,1,2,Yes,6,47,2,1,3,44,3,No
241,39,Female,Divorced,IT,Analyst,2,51548,9,10,2,3,Yes,2,43,4,3,1,38,3,No
242,43,Female,Divorced,Marketing,Assistant,1,57108,13,9,2,3,Yes,7,47,4,4,1,27,3,No
243,52,Male,Married,HR,Analyst,3,80158,16,3,8,3,Yes,8,38,2,1,4,28,2,No
244,43,Male,Single,Finance,Assistant,1,28400,2,12,1,5,No,8,33,3,2,1,24,4,No
245,30,Male,Single,HR,Manager,3,52170,8,11,3,5,No,6,51,3,1,2,27,4,No
246,27,Male,Single,Finance,Assistant,5,128874,28,10,7,4,Yes,4,44,3,4,2,23,1,No
247,55,Male,Divorced,Marketing,Analyst,5,106255,23,1,0,5,No,2,52,1,4,1,13,1,No
248,57,Male,Married,Marketing,Analyst,2,105154,28,11,8,5,Yes,1,30,1,4,1,4,2,Yes
249,59,Female,Married,Marketing,Assistant,5,60499,7,13,5,3,No,8,44,4,4,1,45,2,No
250,39,Male,Divorced,Finance,Analyst,2,32295,2,13,3,5,No,5,53,4,4,3,33,2,No
251,54,Male,Married,Sales,Manager,4,39197,1,11,4,2,No,9,40,1,3,2,31,1,No
252,44,Female,Married,HR,Analyst,3,46888,4,8,6,5,Yes,8,30,2,3,3,2,2,No
253,54,Female,Single,Sales,Assistant,4,100648,23,9,7,1,No,2,55,2,1,3,27,1,No
254,44,Male,Married,Sales,Manager,4,53539,6,4,4,5,No,9,53,4,2,4,22,1,No
255,48,Male,Married,IT,Assistant,2,107637,26,5,6,4,Yes,4,43,2,4,3,11,1,No
256,37,Female,Divorced,HR,Executive,3,35199,2,4,2,2,No,3,44,3,1,3,48,3,No
257,37,Male,Divorced,Finance,Executive,2,49445,7,4,1,5,No,9,46,4,1,3,28,2,Yes
258,21,Male,Single,IT,Manager,1,47557,10,11,1,4,Yes,2,31,3,2,3,34,2,Yes
259,54,Female,Divorced,IT,Manager,4,116592,27,13,9,2,Yes,6,47,3,3,2,25,1,No
260,35,Male,Single,Marketing,Analyst,3,52098,9,3,2,5,Yes,7,49,4,1,2,2,3,No
261,55,Female,Single,Finance,Assistant,4,38200,2,10,5,2,No,8,47,3,4,1,40,4,No
262,52,Male,Married,Sales,Executive,1,95961,26,4,9,1,Yes,3,58,3,4,1,10,1,No
263,23,Female,Single,Sales,Analyst,1,64973,15,9,0,3,Yes,2,51,2,2,4,14,1,No
264,52,Female,Married,Sales,Executive,3,110433,27,7,2,5,Yes,2,42,2,3,4,3,1,No
265,33,Female,Single,Marketing,Analyst,3,72869,15,6,2,2,No,2,36,1,2,2,9,2,No
266,40,Male,Divorced,Sales,Analyst,1,78956,21,12,1,4,No,7,30,1,3,3,32,3,No
